nct_id,title,status,start_date,completion_date,phase,enrollment,study_type,sponsor,sponsor_class,fda_regulated
NCT04823858,3Spine Lumbar Fusion Real World Evidence Study,ACTIVE_NOT_RECRUITING,2021-05-25,2029-11-15,,176,OBSERVATIONAL,3Spine,INDUSTRY,True
NCT02989948,Physician-Modified Fenestrated and Branched Aortic Endografting for TAAA,ACTIVE_NOT_RECRUITING,2020-04-22,2031-12-31,NA,38,INTERVENTIONAL,Yale University,OTHER,True
NCT04747626,B-SAFER: Branched Stented Anastomosis Frozen Elephant Trunk Repair,RECRUITING,2021-03-25,2030-12-31,NA,590,INTERVENTIONAL,"Eric Roselli, M. D.",OTHER,True
NCT02935478,Bariatric Embolization of Arteries in Obese Patients With HCC to Allow Salvage Liver Transplantation,SUSPENDED,2017-10-18,2027-12,NA,8,INTERVENTIONAL,St. Louis University,OTHER,True
NCT07485985,Coronary Sinus Reducer Therapy for Persisting Angina,NOT_YET_RECRUITING,2026-04-01,2028-07-01,NA,25,INTERVENTIONAL,UMC Utrecht,OTHER,True
NCT02228720,Clinical Evaluation of Propel Nova Sinus Implant in Peripheral Sinus Ostia,COMPLETED,2014-06,2015-01,NA,15,INTERVENTIONAL,Intersect ENT,INDUSTRY,True
NCT04686084,Dual Energy Cone-Beam Computed Tomography (DE-CBCT) Assessment of Jaw Bone Density,COMPLETED,2021-03-26,2021-11-29,NA,26,INTERVENTIONAL,"University of California, Los Angeles",OTHER,True
NCT06906926,Harmony TPV EMEA PMS,RECRUITING,2025-07-30,2032-12-31,NA,80,INTERVENTIONAL,Medtronic Cardiovascular,INDUSTRY,True
NCT03403426,ReFlow Medical Wingman Catheter Wing-IT Clinical Trial,COMPLETED,2018-02-13,2019-08-08,NA,85,INTERVENTIONAL,"ReFlow Medical, Inc.",INDUSTRY,True
NCT03361917,Standard Colonoscopy Versus Colonoscopy With Endocuff Vision,COMPLETED,2017-12-11,2018-04-18,NA,200,INTERVENTIONAL,Indiana University,OTHER,True
NCT01864291,Auditory Brainstem Implant (ABI) in Pediatric Non-Neurofibromatosis Type 2 Subjects,TERMINATED,2013-05,2019-04-25,NA,9,INTERVENTIONAL,Massachusetts Eye and Ear Infirmary,OTHER,True
NCT06940752,VINTAGE (Ventricular Intramyocardial Navigation for Tachycardia Ablation Guided by Electrograms) Using Commercial Off-The-Shelf (COTS) Catheters,ENROLLING_BY_INVITATION,2026-04-12,2027-07-01,NA,30,INTERVENTIONAL,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,True
NCT04902079,Observational and Prospective Registry on Cardiac Contractility Modulation (CCM) Therapy,UNKNOWN,2021-03-08,2023-12-31,,20,OBSERVATIONAL,Monaldi Hospital,OTHER,True
NCT04768543,Stimulation Therapy for Apnea: Reporting Thoughts,COMPLETED,2020-03-02,2021-05-01,,26,OBSERVATIONAL,University of Pittsburgh,OTHER,True
NCT03049748,Self-Management App for Patients With Left-Ventricular Assist Devices,COMPLETED,2017-01-30,2019-07-01,NA,40,INTERVENTIONAL,University of Michigan,OTHER,True
NCT03705481,GRX With ReMOTE: First in Human in India,COMPLETED,2018-12-03,2018-12-07,NA,5,INTERVENTIONAL,Corindus Inc.,INDUSTRY,True
NCT04539964,Vagus Nerve Stimulation for Moderate to Severe Rheumatoid Arthritis,ACTIVE_NOT_RECRUITING,2021-01-11,2027-10,PHASE3,243,INTERVENTIONAL,SetPoint Medical Corporation,INDUSTRY,True
NCT06067204,Automatic Ventilation in Prehospital Resuscitation on OHCA,RECRUITING,2023-10-02,2026-09-30,NA,514,INTERVENTIONAL,National Taiwan University Hospital,OTHER,True
NCT03450733,Wright Medical Technology Metal-on-Metal 522 Post-Market Surveillance Study,COMPLETED,2018-04-11,2022-06-18,,173,OBSERVATIONAL,MicroPort Orthopedics Inc.,INDUSTRY,True
NCT02987387,COMPASSION XT PAS - Post-approval Study of the SAPIEN XT THV in Patients With Pulmonary Valve Dysfunction,COMPLETED,2017-07-17,2025-09-30,,57,OBSERVATIONAL,Edwards Lifesciences,INDUSTRY,True
NCT06010563,VenusP-Valve Pivotal Study (PROTEUS STUDY),RECRUITING,2024-06-11,2034-08-30,NA,60,INTERVENTIONAL,Venus MedTech (HangZhou) Inc.,INDUSTRY,True
NCT04245345,Accelerometer Sensing for Micra AV Study,COMPLETED,2020-06-09,2022-01-10,NA,157,INTERVENTIONAL,Medtronic Cardiac Rhythm and Heart Failure,INDUSTRY,True
NCT03988465,HemoSonics - UTMB Cardiac Surgery Study,COMPLETED,2019-06-19,2020-05-15,,30,OBSERVATIONAL,HemoSonics LLC,INDUSTRY,True
NCT05650658,Left vs Left Randomized Clinical Trial,RECRUITING,2023-09-13,2029-06-30,NA,2136,INTERVENTIONAL,Baylor College of Medicine,OTHER,True
NCT04891289,Gemcitabine and Oxaliplatin Chemotherapy With or Without a Floxuridine and Dexamethasone Pump in People With Cholangiocarcinoma That Cannot Be Removed With Surgery,RECRUITING,2021-05-07,2027-05,PHASE2,164,INTERVENTIONAL,Memorial Sloan Kettering Cancer Center,OTHER,True
NCT05677568,The CINCH-FMR Post-Market Registry: Percutaneous Repair in Functional Mitral Regurgitation,ENROLLING_BY_INVITATION,2017-06-24,2030-06-30,,250,OBSERVATIONAL,"Cardiac Dimensions, Inc.",INDUSTRY,True
NCT05204082,A Study to Evaluate SU-VEID™ for Improving Peripheral Venous Access Success in Children,TERMINATED,2022-03-28,2022-07-21,NA,169,INTERVENTIONAL,Mayo Clinic,OTHER,True
NCT06834607,"Physician Modified Endovascular Grafts for the Treatment of Elective, Symptomatic or Ruptured Complex Aortic Aneurysms",RECRUITING,2025-06-01,2032-05-01,NA,15,INTERVENTIONAL,Akhilesh Jain,OTHER,True
NCT04829734,Effects of Photobiomodulation Therapy Combined With Static Magnetic Field in Patients With Lateral Epicondylitis,COMPLETED,2021-04-12,2021-09-15,NA,50,INTERVENTIONAL,University of Nove de Julho,OTHER,True
NCT06155409,Safety and Performance of the SPINEVISION Hexanium ACIF in the Treatment of Cervical Spine Degenerative Disc Disease,ACTIVE_NOT_RECRUITING,2021-07-06,2027-07-31,,148,OBSERVATIONAL,SPINEVISION SAS,INDUSTRY,True
NCT05676944,Vestibular Implantation in Older Adults,RECRUITING,2023-04-11,2028-01-31,NA,15,INTERVENTIONAL,Johns Hopkins University,OTHER,True
NCT05934487,PROACTIVE-HF-2 Trial Heart Failure NYHA Class II and III,RECRUITING,2023-11-29,2033-09,NA,1750,INTERVENTIONAL,"Endotronix, Inc.",INDUSTRY,True
NCT07290998,Alpha Radiation Emitters Device (DaRT) for the Treatment of Locally Recurrent Prostate Cancer,NOT_YET_RECRUITING,2026-05,2029-05,NA,12,INTERVENTIONAL,Alpha Tau Medical LTD.,INDUSTRY,True
NCT04229017,Study of Posterior Cervical Stabilization System (PCSS) as Part of Circumferential Fusion to Treat Multilevel DDD,ACTIVE_NOT_RECRUITING,2020-03-18,2025-12,NA,236,INTERVENTIONAL,"Providence Medical Technology, Inc.",INDUSTRY,True
NCT04408846,Minimally Invasive Surgery Versus Traditional Open Surgery In The Treatment Of Single Level Lumbar Stenosis,WITHDRAWN,2020-12-01,2023-12-01,NA,0,INTERVENTIONAL,Novosibirsk Research Institute of Traumatology and Orthopaedics n.a. Ya.L. Tsivyan,OTHER_GOV,True
NCT06195046,Baroreflex Activation Therapy in Left Ventricular Assist Device Patients Study,WITHDRAWN,2025-07-01,2025-07-01,NA,0,INTERVENTIONAL,Medical University of South Carolina,OTHER,True
